Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:33:26,2018-06-26 11:33:29,3.562s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:33:29,2018-06-26 11:33:29,0.000s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:33:29,2018-06-26 11:33:29,0.006s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:33:29,2018-06-26 11:33:32,3.000s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:33:32,2018-06-26 11:33:41,9.156s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:33:41,2018-06-26 11:33:43,1.144s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:33:43,2018-06-26 11:33:43,0.174s,PASSED
scrollToPosition,Chrome 67.0.3396.79,,2018-06-26 11:33:43,2018-06-26 11:33:43,0.033s,PASSED
delay,Chrome 67.0.3396.79,,2018-06-26 11:33:43,2018-06-26 11:33:46,3.001s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:33:46,2018-06-26 11:33:46,0.099s,PASSED
setText,Chrome 67.0.3396.79,,2018-06-26 11:33:46,2018-06-26 11:33:46,0.151s,PASSED
sendKeys,Chrome 67.0.3396.79,,2018-06-26 11:33:46,2018-06-26 11:33:46,0.055s,PASSED
delay,Chrome 67.0.3396.79,,2018-06-26 11:33:46,2018-06-26 11:33:48,2.003s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-06-26 11:33:48,2018-06-26 11:33:55,6.534s,FAILED
,,,,,,
Test Cases/Document and video filtering/Video and webinar search and filtering,Chrome 67.0.3396.79,These test cases cover the document and video filtering on the website..,2018-06-26 11:33:55,2018-06-26 11:34:45,50.063s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:33:55,2018-06-26 11:33:58,3.426s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:33:58,2018-06-26 11:33:58,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:33:58,2018-06-26 11:33:58,0.004s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:33:58,2018-06-26 11:34:01,3.001s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:34:01,2018-06-26 11:34:11,9.444s,PASSED
sendKeys,Chrome 67.0.3396.79,,2018-06-26 11:34:11,2018-06-26 11:34:11,0.062s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:34:11,2018-06-26 11:34:12,1.155s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:34:12,2018-06-26 11:34:12,0.207s,PASSED
refresh,Chrome 67.0.3396.79,,2018-06-26 11:34:12,2018-06-26 11:34:12,0.286s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:34:12,2018-06-26 11:34:45,32.221s,FAILED
,,,,,,
Test Cases/External modal popup/External modal popup,Chrome 67.0.3396.79,External modal popup,2018-06-26 11:34:45,2018-06-26 11:35:12,26.859s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:34:45,2018-06-26 11:34:48,3.369s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:34:48,2018-06-26 11:34:48,0.001s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:34:48,2018-06-26 11:34:48,0.004s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:34:48,2018-06-26 11:34:51,3.001s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:34:51,2018-06-26 11:35:00,9.009s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:35:00,2018-06-26 11:35:02,1.158s,PASSED
scrollToPosition,Chrome 67.0.3396.79,,2018-06-26 11:35:02,2018-06-26 11:35:02,0.012s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:02,2018-06-26 11:35:02,0.193s,PASSED
focus,Chrome 67.0.3396.79,,2018-06-26 11:35:02,2018-06-26 11:35:02,0.134s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:02,2018-06-26 11:35:02,0.119s,PASSED
scrollToPosition,Chrome 67.0.3396.79,,2018-06-26 11:35:02,2018-06-26 11:35:02,0.016s,PASSED
delay,Chrome 67.0.3396.79,,2018-06-26 11:35:02,2018-06-26 11:35:03,1.000s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:03,2018-06-26 11:35:03,0.078s,PASSED
focus,Chrome 67.0.3396.79,,2018-06-26 11:35:03,2018-06-26 11:35:03,0.100s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:03,2018-06-26 11:35:03,0.119s,PASSED
refresh,Chrome 67.0.3396.79,,2018-06-26 11:35:03,2018-06-26 11:35:05,1.253s,PASSED
scrollToPosition,Chrome 67.0.3396.79,,2018-06-26 11:35:05,2018-06-26 11:35:05,0.010s,PASSED
focus,Chrome 67.0.3396.79,,2018-06-26 11:35:05,2018-06-26 11:35:05,0.057s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:05,2018-06-26 11:35:05,0.092s,PASSED
focus,Chrome 67.0.3396.79,,2018-06-26 11:35:05,2018-06-26 11:35:05,0.115s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:05,2018-06-26 11:35:05,0.173s,PASSED
switchToWindowUrl,Chrome 67.0.3396.79,,2018-06-26 11:35:05,2018-06-26 11:35:11,5.614s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-06-26 11:35:11,2018-06-26 11:35:11,0.050s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-06-26 11:35:11,2018-06-26 11:35:11,0.016s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-26 11:35:11,2018-06-26 11:35:12,0.843s,PASSED
,,,,,,
Test Cases/Site search/Site search,Chrome 67.0.3396.79,Site search on HSBC AMG,2018-06-26 11:35:12,2018-06-26 11:35:34,22.713s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:35:12,2018-06-26 11:35:15,2.691s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:35:15,2018-06-26 11:35:15,0.000s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:35:15,2018-06-26 11:35:15,0.005s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:35:15,2018-06-26 11:35:18,3.000s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:35:18,2018-06-26 11:35:27,9.184s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:35:27,2018-06-26 11:35:28,1.147s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:35:28,2018-06-26 11:35:28,0.184s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-06-26 11:35:28,2018-06-26 11:35:28,0.064s,PASSED
